"","x"
"7610",0.364142217499833
"4930",0.31949814793104
"6240",0.430463091477449
"4880",0.288947305536994
"4980",0.288169554074627
"5980",0.284291521888408
"5810",0.360122117912076
"5110",0.487782446728136
"5930",0.410058884686934
"7550",0.339422504313847
"5600",0.281796978364996
"6882",0.306955336760669
"3160",0.555706128800139
"5870",0.392109784941264
"6130",0.323875714656006
"7310",0.457069393647288
"7040",0.344208027670241
"5290",0.367355430795904
"7180",0.739778172078994
"6520",0.314563172755599
"5630",0.230593604303649
"6080",0.475179541989398
"6810",0.267689989870807
"4560",0.446422525310596
"4770",0.624439398345517
"4950",0.329087948904251
"5010",0.309722093342279
"6190",0.722609056943598
"4650",0.385387397615745
"6740",0.655844358586708
"4230",0.293670339390877
"4610",0.276241812419284
"7660",0.324884993536279
"6830",0.49609648832222
"6170",4.95886554559749
"6870",0.762600883046837
"7210",0.374362016436933
"7030",0.453418325866863
"7360",0.510775163882766
"4090",0.807606291311102
"4120",0.287960907350377
"7510",0.423895688099168
"7270",0.608107097054299
"3131",0.749143652256933
"3250",0.704894204910508
"6310",0.369250254861999
"5070",0.340183359809898
"7050",0.372717923896411
"6840",0.581756327257999
"3940",0.468517156121181
"1720",1.03535863776384
"6280",0.496556680942703
"4050",0.534889431587281
"4520",0.284469239043715
"6480",0.491389320866002
"6630",0.92603234476903
"2890",1.32910243771782
"6670",0.869566671910393
"3870",0.504453293531652
"6360",0.475102505520653
"5190",0.918208845411934
"7350",0.538825739810225
"6580",0.511419925301133
"5060",0.577403313044512
"2730",0.405753306810062
"7560",0.753536298822835
"6590",0.663500366417406
"6140",1.04971873126306
"6770",0.563908399540427
"6290",1.04722000743539
"5670",0.873278274604165
"4440",0.395215280280914
"6760",0.498475249857344
"6730",0.609273326023057
"4860",0.908117544280073
"6410",0.729262933860555
"6570",1.0579626330372
"6110",0.526666030839285
