"sigma_env2/r","mu","sigma_int2","r","beta1","e_sigma_env2/r","e_mu","e_sigma_int2","e_r","e_beta1","MWSS"
0.0624581289014818,-0.424094543562385,0.000973292466448203,2058.15086459895,-0.000192087191472413,0.0341646036220963,0.540550746448764,0.00795856965895275,493.586261876154,9.13257015123539e-05,2.66665332909599
0.053762903330272,-0.520078817313686,0.00155201000704572,2058.84609043842,-0.000187294160199703,0.0232949914187106,0.46021703028324,0.00940497291265456,435.724404121429,7.05516587888338e-05,2.84172739208675
0.0455806210785663,-1.16877755488247,0.00426815163176918,2800.51937278484,-0.000153245725912243,0.0195961902960472,0.482176892400398,0.0196315842037374,478.120967953774,5.40589466392991e-05,2.72205098544999
0.0389994422667635,-1.58307299616349,0.00756074515865934,3186.68226968289,-0.0001421639871917,0.0173324907288963,0.456899945529745,0.0302224882935293,462.100465142048,4.75177519842807e-05,2.86856265942892
0.0365127264148473,-1.73622506663205,0.00486804925212337,3240.5508706387,-0.00013456494040102,0.0144159952161281,0.455723960044503,0.0220004452635983,430.939651776319,4.63432268631284e-05,3.18982865701608
0.0423799793555304,-2.16338892713993,0.0101356209005415,3698.78954312729,-0.000139227385144678,0.0243732477049888,0.419515357971692,0.0460349115859795,460.81737958312,3.53126491384448e-05,2.24919832267129
0.0408232157655231,-2.67785948427184,0.0303718868281951,4111.70955955691,-0.000123704247894165,0.0240734985933111,0.463571957131013,0.0907308761422719,469.409088709088,3.28922088153811e-05,2.37306525530695
0.0385769438306813,-3.25655417584971,0.029400326791643,4550.21228961873,-0.000111961948937843,0.0208964186684136,0.537762265317438,0.102813572671294,514.497547095443,3.24087763473655e-05,2.54159856831549
0.0363245337041721,-3.9758963105052,0.0411846608197579,5084.43716493083,-9.92466109068613e-05,0.0194020568929658,0.550368676378338,0.138411252904408,530.093907574958,3.03557307911127e-05,2.62653734925548
0.0407298404636838,-4.20504317273024,0.024842924013976,5157.91883349643,-0.000103266742075477,0.0215826348294679,0.556980127754064,0.0995458171664702,518.84864478951,2.81811509498703e-05,2.23717186506473
0.0454258348932942,-4.91691484458646,0.0735253852545864,5651.23213626585,-9.3372454720855e-05,0.0258799463365396,0.633958385141977,0.249140509865151,560.322240035105,2.84928283350598e-05,2.22602728319385
0.0437278232572933,-5.69011434258787,0.0885773859187819,6151.2930412981,-8.41805517353897e-05,0.0232535067242801,0.701431714263319,0.304751256013149,608.719106769373,2.68323914008494e-05,2.36535865777162
0.0442394617920865,-5.49343786672283,0.063285949344596,5788.86320584364,-8.75044525417116e-05,0.0220158926726154,0.641732562571803,0.223206438720561,538.430827790973,2.59082821153288e-05,2.41084045562222
0.0460670221593224,-6.13140102345016,0.103752742632779,6175.14292685057,-8.24317453921364e-05,0.0230493322249791,0.689757370688837,0.347332236258155,589.031495709662,2.49843826565999e-05,2.37833088930232
0.0456159448285258,-6.17219531548384,0.122873533067949,6033.08308553932,-8.34371561667101e-05,0.0247700878263506,0.664801405306572,0.403619717427546,545.783139184227,2.50238225182234e-05,2.43220904110755
0.0461996438747601,-6.63948719155416,0.0979101206235298,6242.55197816989,-7.92633178490325e-05,0.0223035438558583,0.676376286928,0.339235133359253,546.610711955459,2.41563424360053e-05,2.45494577939996
0.060083497300429,-7.0151647126017,0.267676895926112,6430.86281821842,-7.8361353491775e-05,0.0281925817155605,0.757671233229877,0.755142801787741,548.219714558378,2.45077865775898e-05,2.12249856746342
0.0600076630359412,-7.61175462315901,0.318200821270528,6708.64772089188,-7.52402583493412e-05,0.0274014290317665,0.793983950529114,0.783554872691798,583.918534917976,2.38238890166743e-05,2.0839089418871
0.0570302110670104,-8.20461149387222,0.409639219763895,6935.88761846995,-7.37296589044146e-05,0.0264678114479614,0.787862292702262,0.97411141230537,564.674544108458,2.28752838080422e-05,2.09855042652409
0.0618280774071998,-8.45331421087289,0.221545777492367,6960.84099090096,-7.254488544463e-05,0.025772749558115,0.798345879797136,0.679220172378053,572.40163081423,2.27012991382629e-05,2.10774641868779
0.0600311059171645,-8.7402815172813,0.366321907559766,6979.44980726918,-7.22151947606173e-05,0.0269806423090387,0.803629628140463,1.04180028480658,567.228476331949,2.10938883064546e-05,2.08137852462716
0.0608648115273714,-9.56435293646816,0.348668867155249,7369.37515150977,-6.82189001668636e-05,0.026025423749677,0.825811855576522,1.03419002915846,549.753022423102,2.17736048069502e-05,2.08574030318332
0.0634851621641879,-10.7036754407876,0.413393724059127,7966.59894376646,-6.29803039342388e-05,0.0294231432720332,0.922585825103265,1.28056647726432,612.846886203151,2.20564900305799e-05,2.13834565213034
0.0626599135402392,-11.2830901711168,0.488057646218441,8157.18851914907,-6.27524795969817e-05,0.0287061231685898,0.961723647385915,1.40616535904001,620.003302444804,2.05040443559766e-05,2.11408960467822
0.0644576571167615,-11.2025548461716,0.366343311741774,7935.43671249952,-6.56275902977672e-05,0.0290716584657701,0.905621352379219,1.28034197303361,575.101794258592,2.03282133810838e-05,2.00352080142592
0.0705641674716085,-11.8735485562696,0.391127445807402,8210.68162960476,-6.23075830800768e-05,0.0312090932583912,1.00333193751103,1.41857367696448,633.204957986964,2.0971058536498e-05,2.00231247804568
0.0700825439397484,-12.3610491711708,0.416220192106293,8325.07099408103,-6.11064205964247e-05,0.029801872240131,1.01658520163181,1.46259804966267,613.151372274863,1.98924056283346e-05,2.01017458082118
0.0723468640949332,-12.6025591011741,0.442669688733709,8295.69351666343,-6.09300973599829e-05,0.0318542614819237,1.00860082585962,1.56803503185135,601.736691507928,1.97611784566539e-05,2.033896339592
0.0733077687963823,-13.2109677800724,0.422182858468247,8502.65586747304,-6.04609500182264e-05,0.0321874844556718,1.01872434010949,1.52674682873644,615.781644217142,1.93231108880911e-05,1.97096149549715
