"","x"
"PP",1.09710860881295
"DM",0.393971266977518
"PB",1.71114213901765
"DO",0.752749687932107
"OT",0.848742510426236
"RM",1.56024316317328
"PE",1.09420957173294
"PF",1.52149186516435
"DS",1.78792643147675
"OL",1.02853442837746
"PM",2.15918657620414
"SH",3.57772949618412
"AH",1.56744663877648
"SF",3.69002475324048
"BA",4.28414709436544
"SS",1.79352101176862
"PL",4.21849097531699
"PI",4.82646891012139
"RF",4.24161309559931
"RO",5.44021949087641
