"sigma_env2/r","mu","sigma_int2","r","beta1","e_sigma_env2/r","e_mu","e_sigma_int2","e_r","e_beta1","MWSS"
0.00597650602474665,-25.9395020778634,0.00459191989223476,38850.1472279313,5.91627631075264e-06,0.00205143072807559,29.6105826417025,0.0780370301400536,12291.9092112452,0.000166907255784566,14.1948664379772
0.0110917668672884,-6.42365676732624,0.00208517691337603,10648.0682230661,-2.41863090630113e-05,0.00423598764465789,3.2884802226076,0.0176905608426407,2910.83967450643,6.80147784682865e-05,7.65836759245119
0.0118034861942398,-15.3034119249571,0.00595402361187677,21552.5512165686,-1.19580665416073e-05,0.00381294567382951,5.06253493481507,0.0731491905546628,4860.95083558626,4.35382773958171e-05,7.15823234474031
0.0196646881803521,-161.268448555148,6.78852622462928,195850.909224825,-1.32226121840096e-06,0.00827169075671632,44.3868004866441,38.6792455385138,42402.4530713797,3.77066264423826e-05,4.09749166467711
0.0510302278182913,-4.63045656663802,0,6832.89705614434,-4.42024613608272e-05,0.0388393629392313,1.43011088540449,0,1729.58824983703,5.2550185762341e-05,2.28404461060963
0.0526316382391783,-6.72630536181744,0.0017513901159029,8754.16021485418,-3.29618553968435e-05,0.0372734150085385,1.85928749621297,0.0292496799937855,2194.46859950667,4.41301987922936e-05,2.15955983873548
0.0544639198499241,-13.8103625697142,0.000663656630077939,15620.6424560309,-1.77950141725662e-05,0.0365764954933716,3.37063716318244,0.0209866653531809,3681.91200141489,3.84802369106118e-05,2.07295370860891
0.0561037987811014,-14.6219808052623,0.00081180922302998,15644.7693934619,-1.71640860711513e-05,0.0358674101350302,3.40770288719232,0.0256716617030635,3677.46745807728,3.43224653958618e-05,2.0095802560065
0.0580700090930088,-16.6052947636688,0,16722.7886969519,-1.56742544935635e-05,0.0363678776001978,3.78449728659,0,3708.77430892113,3.07007073932671e-05,1.94052609875806
0.0556641743882304,-21.0829164873781,0.00141601820755577,19930.4459160095,-1.34715244100755e-05,0.0327508401421246,4.45241685142729,0.0447784274414529,4114.44544775594,2.96138317432805e-05,2.04879966199907
