"sigma_env2/r","mu","sigma_int2","r","beta1","e_sigma_env2/r","e_mu","e_sigma_int2","e_r","e_beta1","MWSS"
0.95877696135622,0.251776843653968,1.21993222389713,8.62417273814506,-0.374438209588399,0.194565609399481,0.417163444906805,3.06899341026883,0.307102732523333,0.105414031899641,1.10570732556106
0.960648068612944,0.0410493318243657,2.31210060795944,9.72996669877209,-0.530718735101988,0.153030764042767,0.4165673309598,2.47451054109371,0.233569494373118,0.151276110670946,0.980258858702169
0.962240502738032,-0.153814893965302,1.64443089354762,10.6521358436658,-0.494066544683274,0.12614133640851,0.472323045301217,1.93555159913257,0.235013782847406,0.133853489107052,1.01580051467151
0.956897374536763,-0.526399916361456,2.82814150976947,10.8008996054312,-0.522949354050058,0.106761151208757,0.498699027583036,2.95901393891446,0.214298339145932,0.142822275154137,1.02446219292053
0.95348141204721,-0.879761165146842,2.87078686010114,11.0641415635384,-0.497944648252302,0.101013723877061,0.543683822725733,3.16977878913834,0.210864605279882,0.131143246411025,1.03886691577268
0.943496139650942,-1.28359059821888,3.16164558374633,10.2998293275135,-0.553374821205822,0.0943124989891012,0.516842969361298,3.41604180397699,0.177966501270933,0.141886943796981,1.06822742836282
0.934559525446563,-1.75458070769197,5.3676405661472,10.0354189090537,-0.55770582914341,0.0910697190508665,0.533362594176634,4.1143943593968,0.161217018598967,0.146456961117093,1.07462156807012
0.936167756024245,-1.82523721800093,3.99760475428668,9.86967703946656,-0.519275354903939,0.0928818624384081,0.530694738275711,3.83819563938941,0.157365940263649,0.125342167607759,1.0656299385172
0.941655768246228,-1.56001666457664,2.73183243127255,9.03118496726502,-0.523638492617242,0.0937585007274993,0.469926263108724,3.06139156964571,0.139060702674301,0.120236080471992,1.06157269618123
0.938537684408815,-1.65574994086605,3.24929511227058,8.48333929571723,-0.524056295390981,0.0940555013389484,0.490549262481236,3.33467828834188,0.13164023220839,0.118012414643949,1.05421506338786
0.936933244423439,-1.81428752216337,2.92002338234931,8.38184944438668,-0.522894476014834,0.0895580139452529,0.474047461420769,3.16218895588768,0.125343349235415,0.111760243195978,1.04602970698134
0.928959162424149,-2.44581826008915,3.04203118569629,8.62361197280636,-0.516062133370894,0.0880663392264532,0.495278606063808,3.34302281946154,0.128735830426058,0.1101933310945,1.05891247854524
0.929589003567312,-2.48010491508387,4.32075438487219,8.49962588325917,-0.530163020299982,0.0823331827391224,0.5241895751603,3.17153379142384,0.126342940366669,0.113725851964825,1.05473378905299
0.922986029726786,-2.9710347297858,4.14724514603668,8.56016725280028,-0.531791946757429,0.084176876454817,0.519152275401795,3.28480024946794,0.116719784025242,0.111739519725141,1.06053774636463
0.922175286598065,-2.9445936695186,4.74164382606423,8.0644425850745,-0.557550070651204,0.0857003267449869,0.505143654946742,3.39298359995583,0.104763951440694,0.113618180394365,1.05368462090638
0.928957573759918,-2.49215999494049,5.63777588423766,7.52055681640414,-0.576170242858492,0.0872515913789855,0.482473837149984,3.55363422948015,0.103222167702602,0.11660509516848,1.04638315203767
0.930258320146844,-2.50538600523655,5.94730329224197,7.44276951085459,-0.582339652617606,0.0842923791673612,0.490334172244166,3.49414274005708,0.100254431106276,0.111492900768263,1.04263003353906
0.925388749145688,-2.9325535990871,6.52294753276286,7.44435856613603,-0.587975587351439,0.0860804692321688,0.502233066110337,3.54063082034088,0.0954868051507223,0.11495892308166,1.0549802962647
0.922058755525387,-3.1349851691117,6.48972901107198,7.22569158187105,-0.596016202708369,0.0826213122017218,0.495522229626852,3.85015490261443,0.0908955240713827,0.116178212018803,1.06106604774234
0.923056256642433,-3.1080129534691,6.72722273550864,6.99731768376236,-0.608042067047939,0.0839293472385196,0.485650646750179,3.42627410688408,0.0879916561768734,0.117996172087708,1.06091460491144
0.922885596741006,-3.07099971985849,6.83501689503156,6.70247514190199,-0.628815392554252,0.0898580891789334,0.461141023597387,3.20301054854541,0.0788272270719578,0.11933576132995,1.04931004502053
