"dataset","col_index","shape_est","shape_sd"
"bci",3,9.97023054352282,2.83127370474858
"bci",4,10.5398809138699,2.59430219537409
"bci",5,11.3283028738726,2.49663899349389
"bci",6,10.4772509628626,2.10546009207236
"bci",7,8.26194423353913,1.53085553319969
"bci",8,7.62490685334004,1.31945611894424
"bci",9,6.79835018859612,1.10636258631825
"bci",10,6.21473295947596,0.957414345110873
"bci",11,5.63828475930831,0.826075297937107
"bci",12,5.09901440491761,0.713201022992317
"bci",13,4.86757911096933,0.65319000414007
"bci",14,4.62748602958367,0.597415398290335
"bci",15,4.35901711988051,0.542583152468949
"bci",16,4.17993647994094,0.503029249333653
"bci",17,4.09140657932343,0.477305180310574
"bci",18,4.02968944212839,0.456605607655908
"bci",19,3.99746285364788,0.440741961199903
"bci",20,3.95906492461472,0.425302518477507
"bci",21,3.82154952308611,0.400097711038619
"bci",22,3.68265236293798,0.376144574483862
"bci",23,3.54035765385088,0.353098026330571
"bci",24,3.431947498322,0.334644400273464
"bci",25,3.34924163813482,0.319648565489446
"bci",26,3.26334019348544,0.30505642492038
"bci",27,3.18730062016776,0.292072255401696
"bci",28,3.10533339392976,0.279103324849212
"bci",29,3.02206463398376,0.266559031483465
"bci",30,2.9653715986778,0.256932403792996
"bci",31,2.90015475103516,0.24693196213177
"bci",32,2.84035532361148,0.237789741496181
"bci",33,2.77404108306256,0.228424119978366
"bci",34,2.71654934485829,0.220142950684379
"bci",35,2.66479917273806,0.212632021223638
"bci",36,2.60126431774303,0.204401930912119
"bci",37,2.55423218366808,0.197784141034768
"bci",38,2.50104687136429,0.190884516512278
"bci",39,2.44522195055989,0.183988663177328
"bci",40,2.37453505103185,0.176134468672521
"bci",41,2.33010179901587,0.170535168099793
"bci",42,2.29312089402201,0.165666510004804
"bci",43,2.24766675479578,0.160296824206481
"bci",44,2.21648225872086,0.156137915878347
"bci",45,2.16420458231594,0.150537585440599
"bci",46,2.10240072003118,0.144386342426071
"bci",47,2.05937516793272,0.139740427016782
"bci",48,2.02148475644055,0.135575513033696
"bci",49,1.98277654575164,0.13145456804411
"bci",50,1.94265203192581,0.127332910643998
"bci",51,1.90554938826715,0.123515620320682
"bci",52,1.87061378565393,0.11993364455231
"bci",53,1.83741773316648,0.116549808633528
"bci",54,1.80667491895163,0.113405022247333
"bci",55,1.77010017721996,0.109941565327971
"bci",56,1.74343688545679,0.10720245966978
"bci",57,1.71578453395476,0.104456712968342
"bci",58,1.68424815962976,0.101516989647334
"bci",59,1.65063875119414,0.0985036967285425
"bci",60,1.61777056524457,0.095596472105669
"bci",61,1.58699733134795,0.0928768661668843
"bci",62,1.55899007610246,0.0903811376099458
"bci",63,1.52969754356926,0.087853007871439
"bci",64,1.50546700654459,0.0856811350122485
"bci",65,1.48181587602013,0.0835841879676057
"bci",66,1.45608252364694,0.0813997820129177
"bci",67,1.43233927028559,0.079372713517661
"bci",68,1.39504423584307,0.0765790427812988
"bci",69,1.3707322167456,0.0745946257466316
"bci",70,1.34555037452713,0.0725931147309723
"bci",71,1.32286475128958,0.0707690974812012
"bci",72,1.3017719627242,0.0690664110859814
"bci",73,1.28153404283835,0.0674400672068153
"bci",74,1.26228872474038,0.0658959051380633
"bci",75,1.24445146807371,0.0644551757722856
"bci",76,1.2262625292808,0.063017526920492
"bci",77,1.20223400183969,0.0612797058095746
"bci",78,1.18668298383566,0.0600328762822541
"bci",79,1.17098992686535,0.0587972433927611
"bci",80,1.15596502348966,0.0576162246629035
"bci",81,1.14185566547812,0.0565018368356851
"bci",82,1.12796957845835,0.0554156869016484
"bci",83,1.11164266715765,0.0542160233598963
"bci",84,1.09895255386838,0.053224674251596
"bci",85,1.08252658818096,0.0520522047915971
"bci",86,1.07015369258465,0.051106335298526
"bci",87,1.05824976427633,0.0501977463356805
"bci",88,1.04754137207558,0.0493628655242612
"bci",89,1.03712163462736,0.0485540462289629
"bci",90,1.02517519140923,0.0476788694763852
"bci",91,1.01490031605318,0.0468993236010016
"bci",92,1.00310526988033,0.0460540660773567
"bci",93,0.990944563316285,0.0452015866061436
"bci",94,0.979200130530001,0.044380557041719
"bci",95,0.967867098475481,0.0435901100713918
"bci",96,0.956728494870827,0.0428190601131447
"bci",97,0.94637440584806,0.0420956176575187
"bci",98,0.935850023132532,0.0413728779594516
