"dataset","col_index","shape_est","shape_sd"
"Muggelsee_zoo",3,0.290623278543845,0.0117722323247197
"Muggelsee_zoo",4,0.319985916834265,0.0113123816124613
"Muggelsee_zoo",5,0.267661503549228,0.00834494120269579
"Muggelsee_zoo",6,0.252334173344266,0.0071499941482466
"Muggelsee_zoo",7,0.254717824753014,0.00668678740983609
"Muggelsee_zoo",8,0.228424520998103,0.00556536597183028
"Muggelsee_zoo",9,0.20908027157771,0.00477376280384445
"Muggelsee_zoo",10,0.202353161170508,0.0043736202303628
"Muggelsee_zoo",11,0.190864876568736,0.00391858081194759
"Muggelsee_zoo",12,0.18981782490007,0.00372987986489154
"Muggelsee_zoo",13,0.185801808546588,0.00350304604159625
"Muggelsee_zoo",14,0.177377162388012,0.00321341567207799
"Muggelsee_zoo",15,0.170326837035519,0.00297386280960013
"Muggelsee_zoo",16,0.162468600525502,0.00273907864853675
"Muggelsee_zoo",17,0.158789976362768,0.00259376465392795
"Muggelsee_zoo",18,0.154270030813419,0.00244500271657353
"Muggelsee_zoo",19,0.15049440453736,0.00231840580299891
"Muggelsee_zoo",20,0.14662836802344,0.0021985774997088
"Muggelsee_zoo",21,0.143856959669538,0.00210291485448633
"Muggelsee_zoo",22,0.139461309870212,0.00198857647163386
"Muggelsee_zoo",23,0.138616035222661,0.00193247540502726
"Muggelsee_zoo",24,0.137784845434283,0.00187986556844258
"Muggelsee_zoo",25,0.136961555549236,0.00183032077685993
"Muggelsee_zoo",26,0.135656923838247,0.00177682023354821
"Muggelsee_zoo",27,0.13595919054745,0.00174768706949402
"Muggelsee_zoo",28,0.133571154810268,0.0016845517696897
"Muggelsee_zoo",29,0.133880400342889,0.00165927678361944
"Muggelsee_zoo",30,0.132004656800361,0.00160740324046599
"Muggelsee_zoo",31,0.131009148611284,0.00156875390038863
"Muggelsee_zoo",32,0.130676862694272,0.00153993908619666
"Muggelsee_zoo",33,0.130638801817546,0.0015159638283734
"Muggelsee_zoo",34,0.129323517363446,0.00147773544875865
"Muggelsee_zoo",35,0.128954620283994,0.00145211536729752
"Muggelsee_zoo",36,0.129340126189045,0.00143629414688497
"Muggelsee_zoo",37,0.127824131528937,0.00139934503062471
"Muggelsee_zoo",38,0.126973977095853,0.00137118485484876
"Muggelsee_zoo",39,0.125516255344805,0.00133721286266693
"Muggelsee_zoo",40,0.125685832444749,0.0013222609978415
"Muggelsee_zoo",41,0.12524902456135,0.00130128127553537
"Muggelsee_zoo",42,0.124062934244268,0.00127294614923098
"Muggelsee_zoo",43,0.123183218604221,0.0012487173648403
"Muggelsee_zoo",44,0.12247244591863,0.00122698959832839
"Muggelsee_zoo",45,0.122280678408125,0.00121129114199974
"Muggelsee_zoo",46,0.121966793763941,0.00119483368539192
"Muggelsee_zoo",47,0.12168453116327,0.00117919124378645
"Muggelsee_zoo",48,0.12113753293323,0.00116135450932237
"Muggelsee_zoo",49,0.120224556841801,0.00114037991126795
"Muggelsee_zoo",50,0.119507835548692,0.00112187901015827
"Muggelsee_zoo",51,0.118741526040512,0.00110337697287231
"Muggelsee_zoo",52,0.118142319127002,0.00108695045959401
"Muggelsee_zoo",53,0.117564945016282,0.00107114663363448
"Muggelsee_zoo",54,0.117498878076373,0.00106055881781186
"Muggelsee_zoo",55,0.117059448720625,0.00104676500684644
"Muggelsee_zoo",56,0.116646562072073,0.00103355249095932
"Muggelsee_zoo",57,0.116712023572268,0.00102504703973234
"Muggelsee_zoo",58,0.116616491775754,0.00101530265662953
"Muggelsee_zoo",59,0.115803760568088,0.000999330832118878
"Muggelsee_zoo",60,0.0993472607419865,0.000844628403325031
"Muggelsee_zoo",61,0.115170260519837,0.000977194845595494
"Muggelsee_zoo",62,0.114736499574675,0.000965468722693332
"Muggelsee_zoo",63,0.114530430618555,0.00095597875127481
"Muggelsee_zoo",64,0.114097828950427,0.000944738964933441
"Muggelsee_zoo",65,0.113731034097103,0.000934296312990236
"Muggelsee_zoo",66,0.113474645111077,0.00092500854917172
"Muggelsee_zoo",67,0.113058567490512,0.000914564633444527
