"dataset","col_index","shape_est","shape_sd"
"portal_rodents",3,0.539245996560534,0.0164855177584417
"portal_rodents",4,0.586359442669,0.0156470274387989
"portal_rodents",5,0.6137280447437,0.0147115908087464
"portal_rodents",6,0.539644780935866,0.0116664503010624
"portal_rodents",7,0.523710740121905,0.0104527568687852
"portal_rodents",8,0.495971914982103,0.00921299256391493
"portal_rodents",9,0.457805480824221,0.00795877283143632
"portal_rodents",10,0.451071302465407,0.00742923756571033
"portal_rodents",11,0.419901203647939,0.00655147034351323
"portal_rodents",12,0.388941730591041,0.00577073025470164
"portal_rodents",13,0.374354369648894,0.00531862239253916
"portal_rodents",14,0.354874084486849,0.00483617234388806
"portal_rodents",15,0.339753672263615,0.00445666468020219
"portal_rodents",16,0.332218981219014,0.00421154550613583
"portal_rodents",17,0.32161627309307,0.00394479896432802
"portal_rodents",18,0.312916323266079,0.00372159522143659
"portal_rodents",19,0.305498979260457,0.0035296103518131
"portal_rodents",20,0.299362324398263,0.00336565114482488
"portal_rodents",21,0.293958561947688,0.00322057977672956
"portal_rodents",22,0.289797698622277,0.00309850429221694
"portal_rodents",23,0.286068326852391,0.00298835819054948
"portal_rodents",24,0.282686433419807,0.00288817040629764
"portal_rodents",25,0.27949800135364,0.00279543556947633
"portal_rodents",26,0.276813764185615,0.00271280001916064
"portal_rodents",27,0.274497990394311,0.00263811158756648
"portal_rodents",28,0.272413962235337,0.00256940371313575
"portal_rodents",29,0.270481226979193,0.00250543857741968
