"dataset","col_index","shape_est","shape_sd"
"ecnasap",3,5.5322609117525,0.87752217948154
"ecnasap",4,4.94605957810037,0.677202066952603
"ecnasap",5,4.61061720980044,0.563368284615575
"ecnasap",6,4.3610147555031,0.485531199105811
"ecnasap",7,3.225237110644,0.328523454449393
"ecnasap",8,3.19560180719017,0.304356424819802
"ecnasap",9,3.09043810872313,0.277085406436153
"ecnasap",10,3.0366096205118,0.258077485859871
"ecnasap",11,2.933608997225,0.237332857002871
"ecnasap",12,2.81393235273912,0.217516915643198
"ecnasap",13,2.72973191471661,0.202421576877852
"ecnasap",14,2.73902334698933,0.195755945846501
"ecnasap",15,2.670919474537,0.184178864574202
"ecnasap",16,2.62602494316145,0.175178709415568
"ecnasap",17,2.553460617508,0.165007865733832
"ecnasap",18,2.5219821470061,0.158276687215936
"ecnasap",19,2.44549487330093,0.149132637229775
"ecnasap",20,2.34855952391348,0.139279581560267
"ecnasap",21,2.14109119368809,0.123245836594966
"ecnasap",22,2.12781931536578,0.119620714385712
"ecnasap",23,1.91308256684915,0.104482456524713
"ecnasap",24,1.91910534992893,0.10262558919419
"ecnasap",25,1.89559085433091,0.0992401493708433
"ecnasap",26,1.81689294583376,0.0930104987078721
"ecnasap",27,1.81139195152367,0.0909768986217237
"ecnasap",28,1.75839959511084,0.0865489052112687
"ecnasap",29,1.75083889693168,0.0846528414079587
"ecnasap",30,1.73896787828043,0.0826269010495547
"ecnasap",31,1.63479031904691,0.0760822487601475
"ecnasap",32,1.63081548323111,0.0746889189604235
"ecnasap",33,1.57761626904226,0.0709786649133736
"ecnasap",34,1.57728633757397,0.0699113783972259
"ecnasap",35,1.58045421686949,0.0690539180704566
"ecnasap",36,1.57000869522299,0.0676052809621351
"ecnasap",37,1.55222801083967,0.0658750466022033
"ecnasap",38,1.52396416475448,0.0637320664361213
"ecnasap",39,1.51160470188536,0.0623615824869253
"ecnasap",40,1.50274529584613,0.0611892904417243
"ecnasap",41,1.48899609689594,0.0598441325724142
"ecnasap",42,1.41855829201376,0.0561224734070512
"ecnasap",43,1.39395293874458,0.0544300608027023
"ecnasap",44,1.37547634064016,0.0530394420693798
"ecnasap",45,1.3608540080758,0.0518456957041068
"ecnasap",46,1.34822868927284,0.0507659465997774
"ecnasap",47,1.33694154369975,0.0497693403371905
"ecnasap",48,1.29964133341042,0.0477660024579221
"ecnasap",49,1.2855741574744,0.0467233462983252
"ecnasap",50,1.27163827875739,0.0457119640141737
"ecnasap",51,1.25834425090647,0.0447501126729494
"ecnasap",52,1.24543621009496,0.0438261604166454
"ecnasap",53,1.21660551194095,0.0423241150020598
"ecnasap",54,1.20186199840576,0.0413803886718904
"ecnasap",55,1.18478303449284,0.0403716071771123
"ecnasap",56,1.11409796087945,0.0374272450619309
"ecnasap",57,1.07210278003406,0.0355811778483948
"ecnasap",58,1.04770443415123,0.0344014059798636
"ecnasap",59,1.03241145493336,0.0335675166427055
"ecnasap",60,1.02268386791712,0.0329455636917322
"ecnasap",61,0.997162113137154,0.0317879591711843
"ecnasap",62,0.985816147785641,0.0311401434085254
"ecnasap",63,0.973660325630401,0.0304773844981851
"ecnasap",64,0.961417662516709,0.0298243771767688
"ecnasap",65,0.93649963496821,0.0287591207649735
"ecnasap",66,0.924078758263885,0.0281279544447413
"ecnasap",67,0.909578256109783,0.027439833461221
"ecnasap",68,0.886632667788959,0.0264885403124248
"ecnasap",69,0.869185246284411,0.0257316162801946
"ecnasap",70,0.848109814186566,0.0248715565339103
"ecnasap",71,0.839334853917333,0.0244168512920237
"ecnasap",72,0.821277982295189,0.0236774264047808
"ecnasap",73,0.812362042643295,0.0232358947525311
"ecnasap",74,0.779789436484443,0.0220688221069912
"ecnasap",75,0.769584847431044,0.0216077385047517
"ecnasap",76,0.761375571765141,0.0212148522927794
"ecnasap",77,0.741808618530028,0.0204849448003682
"ecnasap",78,0.727161595199551,0.0199139977353588
"ecnasap",79,0.710614190545248,0.0192954314723745
"ecnasap",80,0.7026107963316,0.0189382812448491
"ecnasap",81,0.69409712997486,0.0185715992206986
"ecnasap",82,0.685430875475334,0.018205956629384
"ecnasap",83,0.676806577915877,0.0178469158719683
"ecnasap",84,0.660361688213569,0.0172691414751318
"ecnasap",85,0.652505074652457,0.0169438344275292
"ecnasap",86,0.645153066582437,0.0166374067836343
"ecnasap",87,0.63759318104727,0.0163294741447251
"ecnasap",88,0.629448976304177,0.0160095658062374
"ecnasap",89,0.621957360688104,0.0157121071976563
"ecnasap",90,0.615629885379439,0.0154506781394911
"ecnasap",91,0.609334522979134,0.0151936597025982
"ecnasap",92,0.600614151877692,0.0148743374132388
"ecnasap",93,0.592653637999803,0.014579693576483
"ecnasap",94,0.580696288752875,0.0141820494454613
"ecnasap",95,0.574359265114512,0.0139388373155354
"ecnasap",96,0.565696155060982,0.0136373744140727
"ecnasap",97,0.558023905027142,0.013365715506603
"ecnasap",98,0.550205196639794,0.0130936616310659
"ecnasap",99,0.530967537954125,0.012529996285406
"ecnasap",100,0.520451232568245,0.0121974403928206
"ecnasap",101,0.512961231054059,0.0119460808970625
"ecnasap",102,0.505272626796053,0.0116927557256807
"ecnasap",103,0.493447579145783,0.0113385918529976
"ecnasap",104,0.482387021755529,0.0110079202952107
"ecnasap",105,0.475933428556699,0.0107953980890128
"ecnasap",106,0.469342850203416,0.0105819929669381
"ecnasap",107,0.462783428922987,0.0103718322541928
"ecnasap",108,0.456745224282781,0.0101767698932389
"ecnasap",109,0.448862569648125,0.00993936175469995
"ecnasap",110,0.438434045099456,0.00964360408396023
"ecnasap",111,0.432819991626186,0.00946610196008183
"ecnasap",112,0.427587873951826,0.00929962671344103
"ecnasap",113,0.418953108617415,0.00905481729279124
"ecnasap",114,0.410571513749256,0.0088187238802076
"ecnasap",115,0.403079164669228,0.00860596928018922
"ecnasap",116,0.39734830983313,0.00843626838381501
"ecnasap",117,0.392777965762495,0.00829505347455347
"ecnasap",118,0.386864736195751,0.00812464687173706
"ecnasap",119,0.382782888490315,0.00799764832863528
"ecnasap",120,0.377108349405604,0.00783598180796085
"ecnasap",121,0.371337733593034,0.00767384971379243
"ecnasap",122,0.367514043817984,0.00755688010296862
"ecnasap",123,0.363357827425716,0.007433702885557
"ecnasap",124,0.358447094635343,0.00729509170227587
"ecnasap",125,0.355009941376323,0.00719026073176382
"ecnasap",126,0.352057075150532,0.00709705325874459
"ecnasap",127,0.347998948672339,0.0069807016141446
"ecnasap",128,0.344331116790077,0.00687393365411359
"ecnasap",129,0.341365366603103,0.00678331830891544
"ecnasap",130,0.338413598494344,0.00669386598428829
"ecnasap",131,0.335875780160237,0.00661409187548666
"ecnasap",132,0.3266559975089,0.00639330522647363
"ecnasap",133,0.329144357005752,0.00642178038693322
"ecnasap",134,0.326471593195379,0.00634153648084224
"ecnasap",135,0.323583616208636,0.00625752344452622
"ecnasap",136,0.320317728425453,0.00616640316999934
"ecnasap",137,0.317697068860414,0.00608948899396808
"ecnasap",138,0.315055246191166,0.00601282814307738
"ecnasap",139,0.311975913994093,0.0059278611532585
"ecnasap",140,0.309850559943137,0.00586316011733312
"ecnasap",141,0.30775993672864,0.00579973467492964
"ecnasap",142,0.305551680481749,0.00573447673977756
"ecnasap",143,0.303361064068525,0.00567013977313169
"ecnasap",144,0.30149117666423,0.00561280459501094
"ecnasap",145,0.299743995603393,0.00555841675583281
"ecnasap",146,0.297600516149674,0.00549658802225223
"ecnasap",147,0.295228997001799,0.00543075168843109
"ecnasap",148,0.29302487938673,0.00536877595219997
"ecnasap",149,0.290915107507066,0.0053091725051806
"ecnasap",150,0.289010199426585,0.00525407777458372
"ecnasap",151,0.286846630656269,0.00519438308782851
"ecnasap",152,0.285177806118645,0.00514479685453536
"ecnasap",153,0.283248084466642,0.00509055759173891
"ecnasap",154,0.281500317981298,0.00504026497614514
"ecnasap",155,0.279612099693491,0.00498767431256762
"ecnasap",156,0.277888599282534,0.00493865403690006
"ecnasap",157,0.276272731581526,0.00489207279421176
"ecnasap",158,0.274682279811338,0.00484633944935176
"ecnasap",159,0.273067701655725,0.00480050556135855
"ecnasap",160,0.271370992950068,0.00475347753689068
"ecnasap",161,0.269540233993167,0.00470429280332629
"ecnasap",162,0.268127226106056,0.00466330045483062
"ecnasap",163,0.266515523747998,0.00461891525733147
"ecnasap",164,0.264995072312552,0.00457655968241482
"ecnasap",165,0.26357929657703,0.00453645899323509
"ecnasap",166,0.262288436996918,0.00449896117393838
"ecnasap",167,0.261019900648781,0.00446215225330094
"ecnasap",168,0.259667653961363,0.00442408231958713
"ecnasap",169,0.258272729487109,0.00438551262382621
"ecnasap",170,0.257122097287069,0.00435166585620757
"ecnasap",171,0.255827999475384,0.00431546536834822
"ecnasap",172,0.254750482285428,0.00428343699693184
"ecnasap",173,0.253441551852147,0.00424747403399793
"ecnasap",174,0.25225856190253,0.00421402586239529
"ecnasap",175,0.251044856859141,0.00418026571779903
"ecnasap",176,0.249915268685667,0.00414824197669429
"ecnasap",177,0.248731156931566,0.0041154746283869
"ecnasap",178,0.247689957017264,0.0040854648321879
"ecnasap",179,0.246727070719999,0.00405704528481877
"ecnasap",180,0.245595357040637,0.00402585379132937
"ecnasap",181,0.244593084282425,0.00399714479240559
"ecnasap",182,0.243526985847661,0.00396751690240182
"ecnasap",183,0.242563829573917,0.00393988286480177
